no	phrase	url
1	I WOULDN'T EVEN KNOW WHERE TO START	https://www.youtube.com/shorts/xOGL7_knAyg
2	YOUR GUESS IS AS GOOD AS MINE	https://www.youtube.com/shorts/B4j3i5W4lfc
3	WORKS LIKE A CHARM	https://www.youtube.com/shorts/xNx0VsGPYlI
4	THAT'S NOT A THING	https://www.youtube.com/shorts/tUAHzvO7nxc
5	I'M WITH YOU SO FAR	https://www.youtube.com/shorts/WtYJH0N0BNo
6	THAT DOES IT	https://www.youtube.com/shorts/madiKAnQslA
7	IS THAT RIGHT?	https://www.youtube.com/shorts/m4xqO3oxJQI
8	COMES WITH THE TERRITORY	https://www.youtube.com/shorts/vDjn7uwvgEQ
9	WOULDN'T THAT BE SOMETHING?	https://www.youtube.com/shorts/_ONdvsvycik
10	WHO AM I KIDDING?	https://www.youtube.com/shorts/GsrM81O0x6I
11	THAT'S A BIG IF	https://www.youtube.com/shorts/gtCUMeUjWW0
12	ONE LESS THING TO WORRY ABOUT	https://www.youtube.com/shorts/zb2i_BMD6Jg
13	NOT BY A LONG SHOT	https://www.youtube.com/shorts/X70Pw7FUwl8
14	DON'T HOLD THAT AGAINST ME	https://www.youtube.com/shorts/p8amDqyC7WI
15	I WOULDN'T COUNT ON IT	https://www.youtube.com/shorts/SR-Dhiu2tnY
16	I REST MY CASE	https://www.youtube.com/shorts/VOF6ntV8oXc
17	GET A LOAD OF THIS	https://www.youtube.com/shorts/vx1lP2q2JW0
18	I'LL GRANT YOU THAT	https://www.youtube.com/shorts/41xouw08M9s
19	COULD'VE FOOLED ME	https://www.youtube.com/shorts/AKse2KXC5m8
20	YOU TOOK THE WORDS RIGHT OUT OF MY MOUTH	https://www.youtube.com/shorts/wAt3gf1bj2M
21	YOU'RE ON THIN ICE	https://www.youtube.com/shorts/LnK8OwfQYS8
22	DON'T SELL YOURSELF SHORT	https://www.youtube.com/shorts/js0l3I-2GBs
23	HOW'S THAT WORKING OUT FOR YOU?	https://www.youtube.com/shorts/GBdBEaIiouY
